[WBWWBBWB|BBBWWWBB|BBWBBWBW|WWWBWBB |BBWBWBWW|WWBW WBW|WWBWBWWB|WBBBW WB,(7,6)],0.0
[BBW  BWW|BB B  WW|W WBW W | W  WBBB| WW  BW |BBW  BBW|B BWW  W|BBBW  BW,(7,6)],0.9951401
[B W     |    B   | WB W  B|B  B B  |        | W W    |     WBW|W BW W  ,(7,3)],0.43635067
[    BWBB|WWBWW WW|WB WW   | B BW WW|BWW BB W| B BB WB|BW W WBB|BBW  WBB,(1,3)],0.99641
[      B |        |     W  |        | WW     |        |      B |        ,(4,2)],-0.0070324996
[W WBW  W|BWBB BW |WBBW    |W WBW W |B WW BBB|WB  BB B| BW W   |B WBW W ,(3,0)],0.996225
[ WBBB  B|   W B W|     WW | BBB    | B      | W W W B|  WWWBWW|     B  ,(2,6)],0.85424995
[ W B   B|B   WB  |WWW B BW|   W   B|WW     W|      B |W      W|  B B B ,(1,4)],0.77091265
[ BW   BW|BWWW BB |   BW   |BBWW    |BW WW  W|WWB BBW |BB WBWWB|   BB W ,(6,3)],0.996315
[WBWBWB B|BBBWWWBW|WWBWBBWB|W BWWBBB|BWW WWBW|B WBB  W|WWBBBW W|BWWBBWWB,(6,5)],0.99684507
[    B WW|    WBBW|WB   B  | WBBW   | B BB   | B   W  |    WW  |  WW  WB,(7,3)],0.8216875
[WBBWBBWB|WWBWWWBW|BBWBWBBB|WWWBWW  |BWBW BBW|WWBBBWWW|WBWB BBB|BBWBBWWW,(0,2)],0.9970949
[ BW  W W|  B BB W|B BWW BW|       B|W      W|B B BWBB|WBB   WW|WW  W   ,(4,7)],0.6349406
[  B   W |WW WW   | BB  B  |B B  WB |  B W  B|W   B   |  BW  W | W  WWB ,(7,4)],0.9092698
[WBBWBWW |W W  BBB|WWW BW B|BWW WW W|B B BBWW|WB  WWBW|BBB   BB|BBW WBBW,(4,4)],0.9965051
[     W  |W    WW |WB BB  B|B B   BW|B WW   W| B BBW  |    W   | W      ,(1,6)],0.83092487
[BWBWBBWB|BWWWBWWB|WBBB WWB|BWWWBWBW|BBWBBBWB|WWBBWBWB|BWWWBWWW|WWBWBB B,(0,2)],0.9983551
[BBB WBWB|WWWBWWBW|WWBBBWWB|BBBWWW B|WBWBBB  |WBB WBWB|BWBW WBW|WBWWBWBW,(0,7)],0.99678504
[        |        |        |        |       W|        |        |        ,(4,7)],0.014731394
[WBW W WW|B WBWWBW|BBB  B  |BBWW  BB|W WW BBW| BWBW W |BB WW B |BWWB   B,(7,0)],0.9964301
[      W | WB     |        |       B|W       |  B     |        |W       ,(1,1)],0.09115375
[ W WB   |  B    B|   W   W|   W    |WW B    |       B|  B     |  BW    ,(2,7)],-0.0057300003
[ WW    W|B WBB   |B  BWW W|   W  B |B W W WW|B    B  |    B  B|    BW  ,(4,2)],0.6465989
[        |    W   |        |    B   |  WW B  |        |        |        ,(4,3)],0.12863
[BBB WWBW|BWWB BWB|WWBBWWBW|WBWWBBWW|WWBBWWBB|BWWWBWWB|BBWBBWBW|BBWBWBBW,(1,7)],0.997995
[        |        | B B B W|       W|        |        |      W |  B W   ,(2,5)],0.13539189
[BWW  WB |BB BWW W|  WWW  W|WB B BBB| BW BWWB|WWWBWWBW|WBWB  BB| BBWBWB ,(0,1)],0.99654996
[ WBWBWBW|B B WW W|W W   B |BB  WB B|   WB  W|  BW W  | WB  B W|BWW B  B,(4,3)],0.26055592
[B W     |  WB  WB|     BW |   B    |WW  B   |B    WWB|B W     | W      ,(5,6)],0.14105812
[B WBW  W|BBWB  B |B BBW WW|WW WW   |WB    B |    B  W|   BW BW|W  B    ,(0,7)],0.77056974
[   BWWW |   B BWB| WW BBBW|    W   |WB B BWB|   BW WB|B B  W W|W W   B ,(5,7)],0.7302365
[ BB  BWB|BWW W W |BBB W BW|BWB  BBW|W BWB BW|B WWB W |B W  B W|WWBW  WW,(3,7)],0.996325
[BBB BWWB|BBWBWBBB|W WBBWBB|BBBWWWBW|BWBBBWWW|WWBWWBWW|BWW WWWB|WBWWBWBW,(6,1)],0.99768496
[     W  |B  B BW |W  WB   |    W   |B BBWWWB|     B  |W       |  W     ,(6,0)],0.8604275
[WW BW W |WBBBW   |WWW BWW |  BWB  B|B  BWBBW|    W  B|WWBBBWWB|BBWW BBW,(6,0)],0.9964
[BW  WBWB|BW   WWB| B B  WW| BW  B  | W  WBW |W BB    |B BBW  B|  WWW   ,(7,4)],0.7113775
[  WB  WB|BWW   B |B BW BWW|B  BWWB |  BBB BW|B  WWWBB| BWW WWW|WW  B B ,(3,6)],0.99610007
[      B |        |        |      B |        |W   W W |        |  B     ,(3,6)],0.17440751
[BB B B W|BWWBWB B|BWWW BWW| WWB  WW|W BBB  W|W W BWBB|WBB BW W|BBWW WBB,(1,0)],0.99649495
[BBBWBWBW|BWWWB WW|WB WBBBW|BWWBWBWB|  W WBBW|WWBBB B | BBBWWB |W WBWWWB,(5,4)],0.99662006
[ W   W B|  B    W| W  B WB|  W     |        | WB  W W| BB     |B  W B  ,(3,2)],0.62576544
[        |        |       B|        |        |        | W      |      W ,(6,1)],0.036335
[ WB  WW | BWWBB B|WBWBBW  |  W  W W|W B BB W|B W BWWB|BB WBB W|WWBB   W,(4,7)],0.9611
[WWBBWBBB|BWWBBWWW|WBBWBWBB|BWWBBWBB|W BBWBWW|WWWBWWWB|BWBWBWBW|WWWBBWBB,(2,3)],0.0
[BWB B WW|W  WBWBW|BW BB BB|WBBW BWW|BWWBBWWB|W  WW BW|B WBBWBW|B WBWBWB,(3,5)],0.99641
[B BB  BW|WWWBWWWB|WBBW BWW|W B  WB |BB  BWWW| BB WWWB|WWBW  BB|BBBWWBW ,(0,7)],0.9961901
[B B     |   WW   |    B   | B  WB W| W  WB  |        |WB B  W |        ,(0,0)],0.2210938
[        | W     B|        |        |  W  B  |W   W   |        |       B,(5,0)],0.0061543006
[BB BBWWW|B BB WB |W W WW W|W WBW BW|WB BB   | W W   B|    WWBB|WB   BBW,(0,6)],0.996405
[ W      | W    WW|    BW  | B  W  B| BB    B| W W    | W   B W|B   B BW,(5,3)],0.6632151
[W    BB |        |      W |   B   B|   W  B |B W B   |  W W  W|    WB  ,(7,5)],0.26678494
[  W B BW|WBWW WWW|BBWBB WB|WBBW WBW|BWWW BBW|WBBBWWBW|B WWWBWB|B B BB B,(5,2)],0.99652004
[ WWBBBWW|WBB BW W|WW BWWWB|WW  WWBB|BB BB  B| BBWWWBW|BWB BWBW|WWBWBBBW,(2,4)],0.9966849
[ WB B   |W  BBWBW|  BBWBBW| WWBBWWW|WBW WBW |  W  W  |WB BBW  | BBWWBBB,(7,2)],0.9964
[WWW BBWW|WBBWW BB|B WBWBBW|BW BWB W|BWBW BBB|WBWBBWWB|WBBWBWBW|WBWW WWB,(0,2)],0.9968549
[        |    W   |        |        |        |        |B       |        ,(6,0)],0.130915
[ B W  B | WW   BW|  WWB  W| W B B  |     WWB|B       |  W   W | WBB  BB,(1,1)],0.773665
[W WBW WB|WWWBWW B|  BB BWW|B B WB B|WWWB BBW|W  B  WB|BB W W B|B  WBW B,(5,7)],0.8715395
[B   B   |     W  |      W |  W     |        |   BW   |        |B W     ,(1,5)],-0.00384625
[   BW   | BW   B |  B     |    B  W| WW BB W|  W B WB|WWB     |    WB W,(4,7)],0.9635228
[        |    W  W|      W |     B  |  WB    |      B |WB   W  | WBBB   ,(5,6)],-0.005660625
[  B W   | W BWBW |  B  BB |     B  |B       |B    BWW|        |WWW  W  ,(1,5)],0.5304568
[BB B WWB|WBWBB   |BWWBBBWB|  WW W B|WWBBWW B|WBWB BB |WB W WWW| W W   B,(6,0)],0.9964201
[   WB   |        |   W    |B  WB   |        |B  B W  |WW B    |      W ,(3,3)],0.052667648
[B  BBWWB|  BBW BB|WW WWW W|BW BWW W|BBWBB WW|W BB B B| W  BWW |WWBBBW B,(4,1)],0.996185
[WBWBWWWB| WBBWBB |WBWWW BW|WBB BBBW|WWBBWBWB|BBB WWWB|BWWWBWBW|BWBWBBWW,(7,7)],0.9972051
[WWW BW B| WW   BB|  BB WBW|WWBBB W |B BWWW W|  WW  WB|B BB B W| W  BBBW,(1,2)],0.996455
[ BW    W|W    W  | W    BB|  W     | B   B  |    B W |      W |     BB ,(2,7)],0.52047986
[        |      W |        |    B   |        |        | B     W|     WB ,(6,1)],-5.371874E-4
[BB B WWB|BWBBBWWW|WBBWWWBB|W WBBBWW|BWBWWWBB|BWWWBBWW|WWBBB WW|BBWWBBWB,(4,7)],0.9970301
[ W BWW  |WWB WBB |BWWW BWW|   W BB |B WBB W |BBWWBB W|WBBWWB W|W   BB B,(0,5)],0.9951501
[     WBW| W   WBW|B  WW  B| B   W B|    WBB |   B  WW| B WB W | BWBW B ,(6,6)],0.92783374
[  WWB WB|  B    B|WB W  WB|WWB WW  |W  W  B | W B    |W  BB   |    B B ,(3,5)],0.68752635
[ BWWWBWB|WBBBWBWW|WBWWBWWB|WWBBWBBB|BB BWWW |W BBWBBW|BBWWBBB |WB WWWBW,(3,6)],0.99691
[BBWBWWWB|WBWWB BB|BWBBW WW|B WW B B|WWWB WBB|BBWWBBW |WBBW  B |WBWWBWBW,(2,3)],0.99665993
[ WW BWWB| BW BW  |  B W BW|WBW WBW |B WB W B|W  WB BB|  BW BB |WWBB W  ,(3,6)],0.99526006
[        |        |        |        |        |        |       W|        ,(6,7)],0.039656233
[WB   WW | BBWWW W|  WW   W|WB B BBW|BB      |BB    B |W   B BW|WWBW  B ,(2,7)],0.9943701
[    WW  |B BWWB  |        |BW B   B| W    B | W      |   W   B|    W   ,(3,1)],-0.0197375
[   W    |        |        |        |        |        |        |        ,(0,3)],0.015890317
[ WWB W  |BWBWB W | WBBW BB|  W  BWW|WWB WBBB|BW WB WB|BW WWB  |W   BBWB,(3,6)],0.99563503
[B W W  B|WBB W B |W   W   | BBB WWB|BB BWW W|BB   BWB|B W W WW| B W   W,(3,1)],0.99615496
[BB B BWW|WW WBBW |BWW W BB|B  BBBW |   W  WW|BWB WW W|  WBBWB |BWWB W B,(1,3)],0.9963149
[  WWWBBB|BB BB BW| BW WBBW|W   WW W|BBWWB W |W   WBB |BBBW W B|WBWW W B,(0,6)],0.996535
[BB  WBB |  WBB BW|  B   BW|B WWBWW |W  WW BB| W  WW W| BW     |WBB WWBB,(3,2)],0.7713659
[WBW  W  |   W  B | W   BBB|        |W     BB| W     B|  B  BWW| W   WWB,(7,6)],0.649025
[ W WW   | W BWWWB|W    W  |B   B   | B B  B |B      B|W   WB W|   B B W,(1,4)],0.11710374
[ BB B  B|    B   |   B W  | WW     | B W   W|   WW   |        |    W   ,(4,7)],0.57890636
[   W  B |     WW |      W |        |       W|  WB    |   BB   |       B,(0,3)],0.22274522
[  BB B  |  WB  B |    BW  |W W BW  |   B B  |    W W |     W  | W     W,(3,2)],0.45679325
[W    WB |B   B   | B     B|  W  B B| W   W  | WB     |       W|  W  W  ,(7,2)],0.18924104
[BBBWWWBW|BWBWWBWW|WBBB BWW|BWWBWBBB|WBBB WWW|BWWWBBBW|WWBWBWWB|WWBBWBBB,(4,2)],0.9983052
[        |W       |        |        |        |        |      W |    B   ,(1,0)],0.04783171
[ BWWWB B|WBBBWBBB| WWWBWWW|BWWBWWBW|WB B BBW| BWWBBWB|BWBWBWWB|WWBWBBBW,(0,1)],0.99699515
[W BWBWBB|W  WWBWB|BBBWW BB|   B W W|  WBBWB | BBWBWWW|WBWBWBWB|   W BW ,(2,2)],0.9964851
[  BW  W |  B B   | BWB    |B WW    |     WB |BW W  B |      BW|WWW  B  ,(2,2)],0.95156014
[BBB B W |   W BB | B B B B|WW   WBB|WWBWW   |BW BW  W|B   B  W|WW W W W,(6,7)],0.97011745
[BBWBWW B|BWWBBWW |B W B WB| W   BW | W WBW W|  BWBBWB|WB WWBWB|BWBBBWBW,(4,4)],0.996035
[     BB |W       |        | W   W B|  W     |        |      W | B WB   ,(7,3)],0.10449375
[        |        |  W     |        |        |B  WW   |   BB  B| W      ,(6,4)],0.2017663
[    B BB|B   BWWW|BB W   B|   B  BW|     WWW| WWW B  |W  BW  W| BB W   ,(3,7)],0.63752496
[   W   B| WBW   B|W    B B|   BB  W|BWW   BW|W       |  B BWW | BWWW  B,(4,7)],0.636425
[BWWW B W|W BW  B |BWBB WWB| B B   B| W WBB W|W W  W W| BWBBWB |BBW  WWB,(5,2)],0.99619234
[W WWBBBW|B B W   |  B    B|WB WWW  | B   WB |  B W WB| W  B  B|      WW,(3,3)],0.66793644
[B  BW  B|W W  W  |  BW   B| W WB   | WWB BWW|     B W|     BWB|  WB  B ,(2,3)],0.9025451
[B     BB| B W B  |   WBW  | B  BB  |WWWBW   |  BWBBW |BW W  W |W  WW   ,(4,1)],0.72521627
[ B WWBBB|WBWB WWB|BBBWBWBW|BW BWWWB|W B  BBW|WWBWBWWB|BWWWBBWB|WWBBBWWW,(7,5)],0.9968251
[WWWBBWWW|BWB BWBW|WWWBWWBB|WBWBWBBW|BBWWBWWW|BBBWBWBW|B WBBBWB|WBBBWWBB,(3,1)],-0.5
[WWWBWB W|WWBBWBWB|BBB BWBB|WWWBBWBW|BB BWWWB|WWBWBBBW|WWBWWWBB|WWBBBWWB,(4,6)],0.9977549
[ W  W W |        |  W  B  |       B|    B  B|       B|       W| W      ,(7,1)],0.3721237
[        |B B     |     W  |  W     |        |WB WWW  |     B W|B B  B  ,(7,0)],0.64713
[WBW BBW |WB BBWWW|BBBWBWWW| WWBWBBW|WBW    B|BW B BWW|BBWBBBW |WWWBWWBB,(7,5)],0.9965951
[  W     |B       |   BWB  |        | W   W  |  B  BW |W   BWW |  B  B  ,(6,4)],0.18432625
[BBB     |   W    |    B  W|     BBW|        |  WW WW | BBW    |      W ,(7,6)],0.52997255
[        |    B   |B     W |        |W     W |     W  |B B     | W      ,(2,6)],0.0038994583
[BBB     |     WW |B B    B| B    W |WWW BBWB|WB BW   |     W  |  W W   ,(5,3)],0.82685244
[WBB  W  |BWW B   |WWBWWW  |  WW    |BB      |        | BW  BW | B BB   ,(3,3)],0.86604756
[B   B B | B WW  W|B   WW  | BW    B|   B W B|W WW  WW|B BW B B|WB      ,(2,0)],0.641765
[  B  B B|BWB BWB |  W W W |WBW W WW|BW   WBW| WB WW B| BBB W W|BBW B WB,(7,6)],0.996335
[    B   |   B W  |   W   B|        |W B   W |        |        |        ,(0,4)],0.079437494
[B WWB   |  B  W B|    W   |WW   W W|  B     |    BB  |    B   |    BW W,(7,5)],0.6358744
[W    B W|BBWBB   | BBW B  |W WWBWWB| WBBW B | B  W WB|B    WWW| WB W   ,(1,2)],0.99614507
[B B  W  |     W W|B       |B    W  |B   W WW|      B | B B  W |     W  ,(4,4)],0.80587995
[     W  |     B  |W  W    |      W | W      |   WBW B|B   B   |  B     ,(2,3)],0.08598625
[WWBBWWBB|BBWWWBWW|BBBWBBBW|WWBWBWWW|BBW WBBB|B BBWBWW|BWB B WB|WWBWWBWW,(4,7)],0.9970299
[BB BWB W|BBWBWWBW|BW WB BB|WBWBWBBW|WBBBW WW|BWWWBBWB|BWBWWWBW|WWBWB BW,(2,4)],0.996805
[WBWB W B|W WWB WW|BW WBWBB|WWWBB BW|WBWBWWWB|BBWBB   |BWBWW BB|BBWBBWW ,(4,2)],0.99657
[        |        |        |        |W       |        |        |        ,(4,0)],0.015345931
[B       |        |        |   W    |       W|  B     |        |   B W  ,(7,3)],0.12739748
[WW BW W | BWBW   |WBW BWBW|     WB |B  BBBW |B W B   | B   B W|BWB W  W,(4,5)],-0.0333175
[        |        |     BW |B  W WWW|      B |        |      B |B       ,(7,0)],0.4204107
[      B |       W|    W   |     W  |        |        |WB      |     B  ,(2,4)],-0.006825
[WWBBWB  |BBB BWBW| WW W B |BWB   W |  BWBB W|WWW BB  | W WWB  | BB  WW ,(0,1)],0.99623996
[      B |        |W       | W      | W      |        |        | B      ,(3,1)],-0.0070824996
[  W    W|  B   B | W   W  |        |   W    |     B B| B     W|        ,(0,7)],0.04193439
[ W W BBW| W  B W |   WB B |  W W B |     B  |B W   B | B BBW  |W W W   ,(0,3)],0.97976
[      BW|  WB B B|WW   BWW|  W WBW |BBB     |   W  W |       B|       B,(1,3)],0.63487
[ WBWW BW|BBWWB WW|W BBBW B|WBWBBBWW|  BB B B|W WWBWWB|WBWBW B | WWBWBWB,(6,4)],0.9966351
[W       |  W     |W  B    |  W     |  B   B |W     B |B       | B    W ,(4,6)],0.13541998
[ B    BW| W     B|        |   WWB  |  BB   B|B   WW  |B W W   |      W ,(1,7)],0.4773503
[  WB  BB| B     W|      W |       W| W      | B W   W|   W   B|  B  BW ,(5,3)],-0.0038274978
[W   WW B|B B  B  |B WWWB  |  WB  B | BB   W |W     B |    B  W| W W  W ,(0,0)],0.14967561
[B W WB  |W W BWBB|WW B W W|B W BBB |B WB WWW|   WW B |WWBBWWBB|B BBB WW,(3,2)],0.9964449
[   W  BW| W  BWWB|  BB    |W  B   B| BB     |BWWWB WB|W       | W WB   ,(1,7)],0.021460313
[    B   |  WW W  |BW B   W| B   BW | BW B  B|  W     |      WB|WWB     ,(2,1)],0.17056808
[ W B BWB|BB     B|W BBW WW|B  W WB |B BWW B |WWBBW W |   B  BB| WW BWWW,(5,2)],0.9946349
[ B B WB |B  WWBWW|BBB W   | WB WBBB|BW WBWBB|WBWB   B|W WBWWBW|W  WWWB ,(4,7)],0.99623
[WBBB   B|B WWBBWW|BW BW BW|W BW  WB| W W BWW|W WWWB  |BBB W B | B W WBB,(3,0)],0.996185
[ WB  B  |  B BBB |   BW   |BW   WW |BW  B BW|W  BWWB |B  W   W| B WW W ,(3,0)],0.99566996
[        |     B  | W B    | W     B| W      |        |     W  |        ,(4,1)],-0.01165625
[WWBWW BB|BBWWWBBW|BWW WWWB| BBWBWB |BWWBBB  |WBWBWWW |WWWBWWBB|BBBWBBBW,(0,0)],0.99671507
[     W  |      B |        |WB      |     W  |        |        |        ,(4,5)],0.031048754
[        |     B  |    BW W| B BW WW|        |   W    |       B|    BBWW,(7,7)],0.76742184
[BB WBBWW|BW WWWBB|BB BWBW | WBBWW B|WB WB  B|WBWWBWWW|W BB BBW|BWBWWWBW,(0,7)],0.99667007
[   W W  |BW WWB B|BW    W |     W  |       W|    BB  | W B BB |W   BB  ,(5,4)],0.66905
[        |    W  B| WW     |W     B |    B   |      W |  W     |   B  B ,(2,1)],0.06123625
[  B W   |    W WW|W   B   |     B  |B W   B |W W B  W| W WB B | B  B  B,(4,6)],0.65983695
[BWBBWWBW|BWWWBWBB|WBWBWW B|BB WBBWW|BWBWBWBW|WWBWBWWB|WWBBWBBB|WBWWBBBW,(5,4)],0.99807006
[W     W |  WW    |BW  W   |    B B |  W   BB| WW    W| BB     |   B B  ,(5,7)],0.16716859
[B W WWW |B BBWWWB|WBW WBBW| W B WW |WWBWBWBB|BBBWB BW|WBBBW B |BWWW B B,(5,2)],0.99652493
[WBWBWBWW|BWBWBWBB|WWBWWWBB|BW BBB W|WBWBWWBB|BWWBWWWB|WWBWBBBW|BWBBWBBW,(1,2)],0.99802
[  BBW   |  W    B|        |W   W   |WB      | B B    |W       |W B W   ,(3,0)],0.14267685
[WB W  B | BW B W |BBB WWW |  BWWB  |     BW | B    W |B   W B |  W  W B,(1,4)],0.9737323
[B   B BW|        |  W  W W|BWW BB  |  W W WB|    B   |   B B  | BW W   ,(0,6)],0.56494814
[BW B WBW|W BWBBBW|  WBB WB| BB WWWB|W BBBWWW|BB BWB W|WWW WB  |WWWBWBB ,(4,6)],0.99627507
[ W B  WB|  W    B|   B  W |WW BWW  |W  B B B|W   BW  |BW B BWB|BBWW    ,(0,3)],0.69440234
[        |        |W       |        |        |  B     |        |       W,(2,0)],0.10189499
[ WW  W B|B WBB B | W WB  B|WB  B  W| BW W BW|W BBB W |B W    B|BWW BW W,(7,4)],0.7369689
[BW      |W  W  B |   BW B |        |  B     |W  W    |    W   | B      ,(1,3)],0.09055032
[B    B  |      W |  B     |        | W  BB W|  W     |      W |        ,(0,5)],0.10982963
[ WW   W |WBBW BBW| W   B W|B WBWB B|W W W  W| WB  B W|  BBBWW | BBB    ,(4,0)],0.9638149
[ BBBW W |W WW BBW| BB  B  | BW  BB |  WW  BB| B   B W|W WBWWB |WW   WWB,(3,6)],0.99635494
[   W    |WBW     | B     W|        | B    W | W  B   |B B W  B| B W    ,(6,2)],0.5548519
[B BBWB  |WW  W BB| WW BWBW| BB BBW | WW  BW |BWB BBWB|W      W|   W W W,(1,4)],0.99584514
[BBBW  WB|     W  |B WB   W|BWW  WW |W   B   | B  W   | BW BW  |W   BB  ,(3,5)],0.6503524
[BWW BBBW|  BBBWBW|W  B BBB|BWWBW WB|WW   BW |WBW B B |WW BBWWW| W  WB W,(6,6)],0.995135
[B BBBW B|W W    W|    B  B|WWWB W  |    BW  |W   BWWW|  B WBW |B WW BBB,(1,7)],0.9857149
[ BW BWWB| B WBWBB|BWW     |WBWBBWBW|BWWBW W |BWBWWW W|B BWB B |WWBBWWBB,(2,2)],0.99652994
[      B |        | B B    |    W   |     W  |        |    W BW|  W     ,(6,4)],0.011923443
[ B W   B|  BWBB W|W  B WB |W      B|   W   B|BWW BWW | B    BB|BWWW W  ,(5,4)],0.9569874
[W BW    |  W WB W|BBW   W |BB W WW |  B   BB|B   W B |WB BBWBB|  W WW  ,(6,6)],0.9953898
[WBWB BB | W BWWBW| WBWBWWB|BW BWBBB|B WBWBWW|BWB W WW|WWBB WWW|BWBBBWB ,(1,1)],0.9966499
[WW  BBW | BW W W |BWB   BB|B BBWW B|  B WW  |BWW  B  |B WBWW W|WBW  BBW,(4,4)],0.9963301
[WBBB  WW|BB WB   |   BBW W|WWW BWWB|B W   BB|W W BBBW| BBWW  B| WWBB WW,(1,4)],0.99635
[  B WW W| B  WW W|        |  B BB  |  W    B|   W   W|W B B   |BBW   B ,(3,4)],0.795145
[WBWWWBWW|BB BWWBB| WWBBW B|B WB BBW|WW WBWWW|WW WBW B|BBWBBWB |WBBBWB B,(3,5)],0.99670506
[WW BWBB | WWBWBWB|BBBWWWBB|B  BB WW|BBWBWBWB|WBWW WWB| WBWBWBW|W BWBBWW,(1,6)],0.8947687
[WBB BBWW|W BWBWBW|BBBWBWBB|WWW  BWW|BBWBWBB |WWWBWBWW|WBBWBWWW|BWBWWBBB,(2,5)],0.99709
[ B      |  W     |W       | BW     |        |        |        |       B,(0,1)],0.1688875
[BWBBWWBW|WWBWW WB|WWW BB B|BBBWWW B| WW  WBW|BBBWBBWB|BBWWWBWB|WBBWWBB ,(7,6)],0.99691486
[        | W      | W     B| B      |        |B  W    |        |  W     ,(7,2)],0.013530004
[WW WWWBB|BBWW  W |BW  WB  | WBBWBWW|W  BB B |BBBWB WB|WWWBBWB |BW WWBB ,(5,6)],0.99650013
[ WWBBWBW|WW WBBBW| BW BWWW|WW     B| WW BB B|B BBWBBW|BW BW B |WWBW BBW,(0,2)],0.99606496
[WBBB BB |  W BWB |WW B WWB|     BBW|  WWB  B|BWB B W |WWBW  WW|W BWB  W,(6,3)],0.99445504
[B B  BBB|BWB  WBW|W   W WB|     W  | WB B  B|B W W  W|W WBBWB |BWWW   W,(5,2)],0.7973637
[        |WB      |   W    |        |        |  B     |     W  |        ,(2,3)],0.03502
[  WBBWBB|W BW  W |   W   B|  W W W |B BBW  W|W   WWB | WBBB  B|BW   BW ,(5,4)],0.99547005
[ BB   BW|B WWW BB|B WW  B |   B WWB|W WBW   |B BB WBB|BB WWWBW|WW WBW W,(6,3)],0.996325
[BB  BWB |BWWW   W| W  BBWW| W WWBBB|BBWBWB B|BWBBW  B|BWBW WWW|W BW WWB,(7,6)],0.996525
[        |  B   B |        |   W    |  WBW   |    B   |        |   W    ,(4,3)],0.22225502
[      B |     W B|        |        |B       |   W    | W      |   W    ,(6,1)],-0.004295
[   W   B|B W     | WB  W  |        | B  W   |        |B       |   W    ,(0,3)],-0.011717502
[BWWB BWW|BBWWBBWB|WB WWWBB|BWWWBB B|WW BWBBW|BW WBBBW|WBWB WBW|WBWBBWWB,(3,0)],0.99685496
[  B  B B|WWBB  WB|  WW BW |B B BWW |BBWW WBB|BWWB  BW|  W WWW |  BW W B,(2,3)],0.99609995
[W BW BWB|BWB BBBW| BW BBBW| BW W BB|B W WBW |  BWBWB |WWBWWWBW|BWWB  WW,(3,1)],0.99640495
[WWBWWB W|BBWB W W|WB WWB W|WWBB WB |BBWWBBWW|WW BW WB|WBBB  BB|WWBB BB ,(2,3)],0.99577
[WBWWBWBB| BBWBWWB|W WBBB W|W  BWWWB|   WWBWB| BWBB W |BBB WBBB|WWWBWWWB,(3,3)],0.9965051
[WWWBWBWB|B W  B  |W BB WWB|BWW BWBB|WBBWBBBW|WWWBWWWB|BBWWW WB|BWWBBWBB,(3,5)],0.996245
[WBBWBBB |BBWWBWBB|WBWBB WW|WWWBWW W|BBBWBWBW|WWBWWBBB|BWWBWBWB|WBWWWBWB,(7,4)],0.997445
[B BB B W|BWB   BB|W  WBW  |WW   WWB| BWWW BB|WBW B B |W WB WW |BBBW   W,(4,7)],0.99599
[B   BBW | WBB  WW|  B WB  | WB W W |BB BB  B| W   W W|       W|B  WW W ,(1,6)],0.97360486
[BW W  BW|WBWWB   |WBBBW B |W WWWBWW|BWBW WB |BB BBWBW| BWB    |  WWBBWB,(4,3)],0.9918499
[BWWW W  |BB W B B|  B BWBW|   WW BB| BWWB BW| BBBW   |BWW W B |WW WW B ,(7,4)],0.996065
[WBWBWWBW|WWW WBWW|BWBWBBWB|BBBWW WW|B  BBB B|WBBWWBWW| WWBBBWB|BWBWBWB ,(5,7)],0.99688494
[BWWBWWBW|BBBWBBBW|BWBWWBBW|WBBWWBWB|BWWBB BB|WBBWBWWW|BWWBWWBW|WWWBBBWW,(1,3)],1.0
[W    WB |W BWWW B|BWB  BB | W BWW W|WB BW W | BWWBW  | B B   W|B WBBWBB,(4,4)],0.9439799
[ B W    |     BBB|  W     |  W     | B    B |  B    W|W   BWW |WW    B ,(0,1)],0.035078123
[BW     W|  WB W B|    W B |W BW    | B W BBB|        | B  W W |B   W   ,(4,7)],0.7627225
[ W      |        |        |    B   |        |        |        |        ,(3,4)],-9.0015633E-4
[WWBBB  B|WWBWBWB |WBWBWB B| BBBW WW|W W BWBB|WWB WW B|WWBBWBB |BB WW WW,(5,5)],0.99652004
[WBWWWBWB|WBBBWWBB|BWWWBBWW|WBBBWWWB|BWWBBWWB|WBBB  BW|WBWWWBBW|WBBBWBWB,(0,7)],0.99803495
[ W WBWW |  B   B |W W WB  |W   W BB|   WW B |BB B    |        |  W B   ,(2,4)],0.8304475
[B WB  WB|W B W WB|WWB   WW|W B  W B| W WBBWB| BWW W  |WB B B B|  BB B W,(3,7)],0.96959
[B W     | W B  W |WW  W   | WBB    |   B  B |W   W B |W B B  B|  W B W ,(5,0)],0.71882194
[BW      |WWWB  B |   BWWW |   W   W|BB    W | W B  W |   W   B|B B BB B,(7,0)],0.96641
[WB BWBBW|BBWBWBBW|BWWBWBBW|WBWWBWWB|WWBW WWB| BWWBB B|B BBWBWW|BWBWBWWW,(4,3)],0.997005
[BWBBWW  |  BB WB |BWW   W |B B     |   B   W|B       |W WB   W|W W  B  ,(0,0)],0.5990851
[WWB WBWW|B B BBB |BBWWWBBB|WWB W  W|B W  WBW|B    B  |  WB WBB|WWW W BW,(7,7)],0.99603003
[        |        |WWW  B  |WB  B  W|    B B |  W B   |   BWWW | B   BBW,(3,1)],0.77443004
[     W  |W       |  WW    |        |     B  |W B     |   W    | B BB   ,(5,0)],0.4925755
[B   W   |        |B     B | W      |        |   WW   |      B |     W  ,(3,1)],-0.007015
[       B|        |       B|        |        | W      |        |   W    ,(2,7)],0.14072128
